id;city;country;country_id;type_of_violence;event_UCDP_id;weapon_used;side_a;side_a_identity;side_a_gender;side_a_age;side_b;side_b_identity;side_b_gender;side_b_age;additional_actors;cr_clarity;sources;sources_original;date_start;date_end;date_precision;time;where;neighbourhood/area;admin_area;latitude;longitude;geoprecision;deaths_a;deaths_b;deaths_other;deaths_unknown;deaths_best;deaths_high;deaths_low;deaths_gender;injuries_total;injuries_a;injuries_b;injuries_others;injuries_na
CMB09091801_00;Colombo;Sri Lanka;780;attack;na;Unknown;GoSL;Unknown;Male;Unknown;LTTE;Tamil prisoner;Male;Unknown;no;3: low;"BBC Monitoring South Asia: 18 September 2009 - ""Sri Lankan prison guards said assault detainees on hunger strike.""";TamilNet;2009-09-18;18-Sep-2009;1;early morning;Sri Lankan Central Prision at Welikada;;Dr Danister De Silva Mawatha;6,921944;79,880278;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;0;3;0;3;0;0
CMB09112901_00;Colombo;Sri Lanka;780;attack;na;Unknown;GoSL;Unknown;Unknown;Unknown;JVP;JVP member;Unknown;Unknown;no;2: medium;"Colombo Times: 29 November 2009 - ""JVP says their supporters attacked.""";JVP;2009-11-29;29-Nov-2009;1;Morning;Maradana;;Maradana;6,919642;79,860979;3: neighbourhood ;0;0;0;0;0;0;0;0;3;0;3;0;0
CMB09122401_00;Colombo;Sri Lanka;780;attack;na;Unknown;GoSL;UPFA;Male;Unknown;JVP;JVP member;Male;Unknown;no;2: medium;"Colombo Times: 24 December 2009 - ""JVP Member assaulted for voting against Kanthi's budget.""";Colombo Times;2009-12-24;24-Dec-2009;1;Early morning;Residence of Stanley Perera;;Wattegedara;6,926220;79,865021;3: neighbourhood ;0;0;0;0;0;0;0;0;1;0;1;0;0
JAF11052801_00;Jaffna;Sri Lanka;780;attack;na;blunt object;EPDP;Pro-govt. Tamil;Unknown;Unknown;Pro-LTTE;Tamil journalist;Male;32;no;3: low;Tamil Net: 28 May 2011 - Gang attacks Tamil journalist in Jaffna city.;TamilNet;2011-05-28;28-May-2011;1;06:30;Near Jaffna Hindu College;;Kantharmadam;9,678237;80,012871;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;0;1;0;1;0;0
JAF11072901_00;Jaffna;Sri Lanka;780;attack;na;blunt object;EPDP;Pro-govt. Tamil;Unknown;Unknown;Pro-LTTE;Tamil journalist;Male;59;no;3: low;"BBC: 29 July 2011 - ""Call for probe on journalist attack"" // Tamil Net: 29 July 2011: ""News Editor attacked in Jaffna.""";TamilNet;2011-07-29;29-Jul-2011;1;19:45;Kasthurijar Road-Navalar Road juncture;;Kasthurijar;9,673543;80,012662;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;0;1;0;1;0;0
JAF12112701_00;Jaffna;Sri Lanka;780;clash;na;blunt object;GoSL;Military;Male;Unknown;Pro-LTTE;Tamil student;Male;Unknown;no;1: high;"BBC: 29 November 2012 - ""Jaffna University Tamil students boycott classes."" // Asia News: 30 November 2012 - ""Police and students clash, 20 students injured.""";;2012-11-28;28-Nov-2012;1;Unknown;University of Jaffna;;Ramanathan Road;9,686676;80,022650;3: neighbourhood ;0;0;0;0;0;0;0;0;20;0;20;0;0
CMB13032801_00;Colombo;Sri Lanka;780;attack;na;blunt object;Sinhalease;Buddhist;Male;Unknown;Muslim;Muslim;Unknown;Unknown;no;2: medium;"Sri Lanka Brief: 28 March 2013 - ""Mob led by Buddhist Monks Attacks Muslim Owned”Fashion Bug”Clothing Establishment at Pepiliyana."" // Colombo Telegraph: 28 March 2013 - ""Muslim Owned Fashion Bug Is Attacked By A Mob Led By Buddhist Monks."" // The Nation: 28 March 2013 - ""Three people wounded in the attack."" // AP: 7 April 2013 - ""Anti-Muslim campaign causes fears of a new wave of ethnic violence in war-torn Sri Lanka.""";Colombo Telegraph;2013-03-28;28-Mar-2013;1;20:00;405 Pepiliyana Road;;Pepiliyana;6,855464;79,890559;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;0;3;0;0;0;0
JAF13112601_00;Jaffna;Sri Lanka;780;assassination/murder;na;firearms;EPDP;Tamil ex-rebel;Male;Unknown;EPDP;Tamil ex-rebel;Male;44;no;3: low;"The Hindu: 4 December 2013 - ""Oposition leader of Sri Lanka's northern coucil held for murder.""";Criminal Investigation Department (CID), Sri Lanka;2013-11-26;26-Nov-2013;1;Unknown;Jaffna Municipal Council;;Jaffna Municipal Council;9,674115;80,033918;4: sub-city admin area;0;1;0;0;1;1;1;1 male;0;0;0;0;0
JAF15052001_00;Jaffna;Sri Lanka;780;Riot/violent protest;na;blunt object;Civilians;Tamil ;Unknown;Unknown;GoSL;Security forces;Male;Unknown;no;2: medium;"BBC: 20 May 2015 - ""Outrage in Sri Lanka over teenager's rape and murder.""";Police;2015-05-20;20-May-2015;1;Morning;Jaffna court complex;;Kandy Road;9,659557;80,014159;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;0;1;0;1;0;0
JAF16060201_00;Jaffna;Sri Lanka;780;attack;na;blunt object;GoSL;Police;Male;Unknown;LTTE;LTTE member;Male;36;no;1: high;"The Guardian: 11 June 2016 - ""British Tamil 'tortured and detained' during Sri Lanka wedding trip."" // The Diplomat: 11 July 2016 - ""Abductions and Torture in Jaffna: Can Sri Lanka Change?""";Victim's family;2016-06-02;2-Jun-2016;1;Unknown;Jaffna Municipality;;Jaffna Municipality;9,667523;80,003517;5: city-level precision only;0;0;0;0;0;0;0;0;1;0;1;0;0
JAF16071601_00;Jaffna;Sri Lanka;780;clash;na;blunt object;Sinhalese student;Sinhalese ;Unknown;Unknown;Tamil student;Tamil ;Unknown;Unknown;no;1: high;"Tamil Guardian: 16 July 2016: ""Sinhalese and Tamil students clash at Jaffna University.""";University authority;2016-07-16;16-Jul-2016;1;Unknown;University of Jaffna;;Ramanathan Road;9,686676;80,022650;3: neighbourhood ;0;0;0;0;0;0;0;0;6;0;0;0;6
JAF16102001_00;Jaffna;Sri Lanka;780;assassination/murder;na;firearms;GoSL;Tamil student;Male;Unknown;Tamil student;Tamil ;Male;Unknown;no;2: medium;"Indian Express: 21 October 2016 - ""Two students of Jaffna University shot dead by Lankan Police.""";AFP;2016-10-16;16-Oct-2016;1;Early morning;Police checkpoint at Kokuvil, Kulappiddi junction in Jaffna;;Kokuvil Road;9,694943;80,014106;3: neighbourhood ;0;2;0;0;2;2;2;2 males;0;0;0;0;0
JAF17072401_00;Jaffna;Sri Lanka;780;attack;na;firearms;LTTE;Ex-LTTE;Male;39;GoSL;Sinhalese Police;Male;Unknown;no;1: high;Daily Mirror: 25 July 2017;Jaffna Police;2017-07-24;24-Jul-2017;1;Unknown;Nallur;;Nallur;9,659822;80,014296;4: sub-city admin area;0;1;0;0;1;1;1;1 male;0;0;0;0;0
JAF18010901_00;Jaffna;Sri Lanka;780;attack;na;Without weapon/melee;Civilian;Unknown;Male;59;LTTE;ex-LTTE;Male;Unknown;no;3: low;"Colombo Page: 9 January 2018 - ""Attacker on ex-LTTE spokesman Daya Master arrested.""";Police;2018-01-08;8-Jan-2018;1;03:55;Hospital street;;;9,662611;80,021561;3: neighbourhood ;0;0;0;0;0;0;0;0;1;0;1;0;0
